date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence
2022-06-08 14:52:28,1,5,30.29,36.42,26.68,52,1
2022-06-08 15:51:41,1,5,33.98,33.56,25.99,53,1
2022-06-08 17:21:53,1,5,42.73,29.01,24.49,56,0
2022-06-08 18:20:59,1,5,36.74,30.51,22.97,59,0
2022-06-08 19:20:04,1,5,35.55,30.32,21.52,61,0
2022-06-08 20:19:13,1,5,36.34,29.29,19.44,64,0
2022-06-08 21:18:22,1,5,45.67,25.02,17.02,73,0
2022-06-08 22:17:32,1,5,46.37,23.89,15.93,78,0
2022-06-08 23:16:44,1,5,48.23,22.86,15.33,79,0
2022-06-09 0:15:56,1,5,49.07,22.51,14.58,82,0
2022-06-09 1:15:08,1,5,48.16,22.21,13.82,81,0
2022-06-09 2:14:24,1,5,48.18,22.11,13.54,84,0
2022-06-09 3:13:35,1,5,47.06,22.04,12.92,86,0
2022-06-09 4:12:49,1,5,46.82,21.56,12.45,87,0
2022-06-09 5:12:03,1,5,47.32,21.32,12.12,88,0
2022-06-09 6:11:16,1,5,45.41,22.72,11.95,87,0
2022-06-09 7:10:32,1,5,57.41,23.76,13.28,85,0
2022-06-09 8:09:59,1,5,48.01,26.04,15.54,80,0
2022-06-09 9:09:25,1,5,44.52,28.95,17.89,69,0
2022-06-09 10:08:51,1,5,38.1,31.93,20.36,61,0
2022-06-09 11:08:21,1,5,31.81,34.53,23.74,52,0
2022-06-09 12:07:53,1,5,25.04,38.69,27.06,40,0
2022-06-09 13:07:21,1,5,20.04,40.32,29.44,34,0
2022-06-09 14:06:06,1,5,18.2,38.99,30.09,34,0
2022-06-09 15:05:10,1,5,23.44,36.55,30.33,35,0
2022-06-09 16:04:23,1,5,23.03,34.92,31.11,31,0
2022-06-09 17:03:35,1,5,23.65,33.61,30.97,29,0
2022-06-09 18:49:09,1,5,39.57,31.19,27.96,33,1
2022-06-09 19:48:22,1,5,29.67,30.73,25.18,41,1
2022-06-09 20:47:28,1,5,35.42,28.23,22.52,44,1
2022-06-09 21:46:36,1,5,40.48,26.26,20.58,57,1
2022-06-09 22:45:43,1,5,44.1,24.96,19.82,61,1
2022-06-09 23:44:54,1,5,47.34,23.84,19.07,65,1
2022-06-10 0:44:04,1,5,49.53,22.79,18.21,67,1
2022-06-10 1:43:17,1,5,50.36,22.27,17.56,69,1
2022-06-10 2:42:31,1,5,51.37,21.91,16.96,72,1
2022-06-10 3:41:45,1,5,51.6,21.53,16.5,73,1
2022-06-10 4:40:57,1,5,52.7,21.19,15.95,75,1
2022-06-10 5:40:10,1,5,51.23,21.29,15.9,75,1
2022-06-10 6:39:26,1,5,51.43,21.95,17.42,70,1
2022-06-10 7:39:02,1,5,53.33,25.48,21.1,62,1
2022-06-10 8:38:24,1,5,40.96,30.27,24.18,53,1
2022-06-10 9:37:53,1,5,33.04,34.7,26.81,48,1
2022-06-10 10:37:28,1,5,26.42,38.47,29.85,41,1
2022-06-10 11:36:55,1,5,22.68,41.07,31.9,33,1
2022-06-10 12:36:08,1,5,21.37,42.57,33.32,32,1
2022-06-10 13:35:20,1,5,19.66,42.41,34.56,30,1
2022-06-10 14:34:28,1,5,17.26,41.32,35.43,23,1
2022-06-10 15:33:29,1,5,22.71,39.47,34.97,27,1
2022-06-10 16:32:45,1,5,29.23,37.12,34.23,31,1
2022-06-10 18:44:38,1,5,38.54,31.73,27.99,48,1
2022-06-10 19:43:44,1,5,36.54,30.26,26.22,51,1
2022-06-10 20:42:49,1,5,41.06,28.6,23.93,55,1
2022-06-10 21:41:55,1,5,46.75,26.78,22.23,59,1
2022-06-10 22:41:03,1,5,48.76,25.58,21.3,61,1
2022-06-10 23:40:10,1,5,53.4,24.41,20.85,66,1
2022-06-11 0:39:19,1,5,55.81,23.44,19.87,68,1
2022-06-11 1:38:28,1,5,58.39,22.45,19.14,71,1
2022-06-11 2:37:38,1,5,61.18,21.45,18.23,73,1
2022-06-11 3:36:48,1,5,62.03,20.71,17.32,75,1
2022-06-11 4:35:57,1,5,62.35,20.07,16.81,77,1
2022-06-11 5:35:09,1,5,62.04,19.52,16.33,77,1
2022-06-11 6:34:24,1,5,59.59,19.87,16.53,77,1
2022-06-11 7:34:54,1,5,57.19,23.36,20.29,68,1
2022-06-11 8:33:52,1,5,46.45,28.71,23.93,56,1
2022-06-11 9:34:30,1,5,34.26,33.34,26.69,45,1
2022-06-11 10:34:05,1,5,25.66,36.83,29.15,35,1
