date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-06-08 17:21:53,1,5,42.73,29.01,24.49,56,0,8,17:21:53
2022-06-08 18:20:59,1,5,36.74,30.51,22.97,59,0,8,18:20:59
2022-06-08 19:20:04,1,5,35.55,30.32,21.52,61,0,8,19:20:04
2022-06-08 20:19:13,1,5,36.34,29.29,19.44,64,0,8,20:19:13
2022-06-08 21:18:22,1,5,45.67,25.02,17.02,73,0,8,21:18:22
2022-06-08 22:17:32,1,5,46.37,23.89,15.93,78,0,8,22:17:32
2022-06-08 23:16:44,1,5,48.23,22.86,15.33,79,0,8,23:16:44
2022-06-09 00:15:56,1,5,49.07,22.51,14.58,82,0,9,00:15:56
2022-06-09 01:15:08,1,5,48.16,22.21,13.82,81,0,9,01:15:08
2022-06-09 02:14:24,1,5,48.18,22.11,13.54,84,0,9,02:14:24
2022-06-09 03:13:35,1,5,47.06,22.04,12.92,86,0,9,03:13:35
2022-06-09 04:12:49,1,5,46.82,21.56,12.45,87,0,9,04:12:49
2022-06-09 05:12:03,1,5,47.32,21.32,12.12,88,0,9,05:12:03
2022-06-09 06:11:16,1,5,45.41,22.72,11.95,87,0,9,06:11:16
2022-06-09 07:10:32,1,5,57.41,23.76,13.28,85,0,9,07:10:32
2022-06-09 08:09:59,1,5,48.01,26.04,15.54,80,0,9,08:09:59
2022-06-09 09:09:25,1,5,44.52,28.95,17.89,69,0,9,09:09:25
2022-06-09 10:08:51,1,5,38.1,31.93,20.36,61,0,9,10:08:51
2022-06-09 11:08:21,1,5,31.81,34.53,23.74,52,0,9,11:08:21
2022-06-09 12:07:53,1,5,25.04,38.69,27.06,40,0,9,12:07:53
2022-06-09 13:07:21,1,5,20.04,40.32,29.44,34,0,9,13:07:21
2022-06-09 14:06:06,1,5,18.2,38.99,30.09,34,0,9,14:06:06
2022-06-09 15:05:10,1,5,23.44,36.55,30.33,35,0,9,15:05:10
2022-06-09 16:04:23,1,5,23.03,34.92,31.11,31,0,9,16:04:23
2022-06-09 17:03:35,1,5,23.65,33.61,30.97,29,0,9,17:03:35
