Time Stamp,Battery Level,isCharging,Temp In,Temp Out,Hum In,Hum Out
2024-10-29 16:13:25,90,0,31.87,30.91,79.99,75.92
2024-10-29 16:18:40,88,0,31.94,30.32,78.35,79.33
2024-10-29 16:23:55,88,0,32.02,30.04,78.34,80.69
2024-10-29 16:29:10,88,0,31.60,29.77,78.62,80.15
2024-10-29 16:34:25,88,0,31.99,29.69,80.20,81.93
2024-10-29 16:39:40,88,0,31.84,29.58,80.16,82.06
2024-10-29 16:44:55,87,0,31.51,29.52,79.76,83.29
2024-10-29 16:50:10,87,0,31.93,29.38,80.90,81.79
2024-10-29 16:55:25,87,0,32.32,29.38,80.33,83.79
2024-10-29 17:00:40,87,0,32.46,29.28,79.92,85.73
2024-10-29 17:05:55,87,0,32.37,29.18,79.77,84.47
2024-10-29 17:11:10,87,0,32.37,29.05,79.57,85.91
2024-10-29 17:16:25,87,0,32.22,28.95,79.41,86.81
2024-10-29 17:21:40,87,0,32.12,28.88,80.64,86.23
2024-10-29 17:26:55,87,0,32.04,28.79,79.92,87.22
2024-10-29 17:32:10,87,0,32.27,28.70,79.36,87.92
2024-10-29 17:37:25,87,0,32.39,28.59,80.67,87.58
2024-10-29 17:42:40,87,0,32.21,28.58,81.14,89.00
2024-10-29 17:47:55,87,0,32.52,28.52,81.50,89.66
2024-10-29 17:53:10,86,0,32.55,28.47,80.87,89.84
2024-10-29 17:58:25,86,0,32.44,28.47,80.80,90.39
2024-10-29 18:03:40,86,0,31.51,28.42,81.48,90.90
2024-10-29 18:08:55,86,0,31.40,28.46,81.63,90.94
2024-10-29 18:14:10,86,0,31.84,28.42,81.17,90.82
2024-10-29 18:19:25,86,0,31.85,28.39,81.37,91.51
2024-10-29 18:24:40,86,0,31.76,28.38,81.46,92.02
2024-10-29 18:29:55,86,0,31.79,28.37,80.86,92.56
2024-10-29 18:35:10,86,0,31.88,28.34,80.50,92.17
2024-10-29 18:40:25,86,0,31.75,28.30,80.54,92.82
2024-10-29 18:45:40,86,0,31.47,28.27,80.60,93.52
2024-10-29 18:50:55,86,0,31.55,28.30,80.77,93.84
2024-10-29 18:56:10,86,0,31.23,28.28,81.01,93.98
2024-10-29 19:01:25,85,0,31.07,28.17,81.18,93.57
2024-10-29 19:06:40,85,0,31.43,27.96,82.50,93.54
2024-10-29 19:11:55,85,0,31.53,27.85,80.79,94.33
2024-10-29 19:17:10,85,0,31.67,27.90,82.22,94.75
2024-10-29 19:22:25,85,0,31.77,27.94,81.81,95.01
2024-10-29 19:27:40,84,0,31.82,27.98,82.06,95.43
2024-10-29 19:32:55,84,0,32.04,27.97,83.43,95.53
2024-10-29 19:38:10,84,0,32.01,27.98,83.03,95.54
2024-10-29 19:43:25,84,0,32.10,27.91,83.79,95.71
2024-10-29 19:48:40,84,0,32.15,27.69,84.38,95.92
2024-10-29 19:53:55,84,0,32.07,27.59,84.25,96.61
2024-10-29 19:59:10,84,0,32.26,27.60,84.30,96.90
2024-10-29 20:04:25,84,0,32.23,27.57,84.28,97.23
2024-10-29 20:09:40,84,0,32.19,27.55,84.50,97.61
2024-10-29 20:14:55,84,0,32.19,27.46,84.41,97.82
2024-10-29 20:20:10,84,0,32.19,27.37,83.81,97.56
2024-10-29 20:25:25,84,0,32.11,27.21,84.18,96.96
2024-10-29 20:30:40,84,0,32.26,27.17,84.62,97.19
2024-10-29 20:35:55,84,0,32.28,27.21,85.06,96.68
2024-10-29 20:41:10,84,0,32.27,27.28,85.14,96.74
2024-10-29 20:46:25,84,0,32.20,27.22,84.88,95.94
2024-10-29 20:51:40,84,0,32.24,27.29,85.22,96.37
2024-10-29 20:56:55,84,0,32.19,27.31,85.13,96.66
2024-10-29 21:02:10,84,0,32.31,27.29,85.09,97.32
2024-10-29 21:07:25,84,0,32.20,27.27,85.32,97.42
2024-10-29 21:12:40,84,0,32.14,27.31,85.40,97.01
2024-10-29 21:17:55,84,0,32.20,27.21,85.66,96.59
2024-10-29 21:23:10,84,0,32.31,27.19,85.52,97.32
2024-10-29 21:28:25,84,0,32.30,27.01,85.38,97.26
2024-10-29 21:33:40,84,0,32.01,26.99,85.47,98.18
2024-10-29 21:38:55,84,0,32.12,27.03,85.75,97.87
2024-10-29 21:44:10,84,0,31.90,26.89,85.40,98.44
2024-10-29 21:49:25,84,0,31.83,26.86,85.77,99.12
2024-10-29 21:54:40,84,0,31.90,26.92,85.88,99.02
2024-10-29 21:59:55,84,0,31.87,26.89,85.80,98.58
2024-10-29 22:05:10,83,0,31.82,26.92,85.89,98.92
2024-10-29 22:10:25,83,0,31.75,26.99,85.95,98.87
2024-10-29 22:15:40,83,0,31.80,27.00,86.01,98.84
2024-10-29 22:20:55,83,0,31.80,26.99,86.11,98.91
2024-10-29 22:26:10,83,0,31.74,26.99,86.26,98.94
2024-10-29 22:31:25,83,0,31.76,26.99,86.08,98.93
2024-10-29 22:36:40,83,0,31.74,26.96,86.04,98.74
2024-10-29 22:41:55,83,0,31.74,26.98,86.04,98.93
2024-10-29 22:47:10,83,0,31.69,26.90,86.13,98.64
2024-10-29 22:52:25,82,0,31.62,26.84,86.33,99.65
2024-10-29 22:57:40,82,0,31.62,26.81,86.13,99.74
2024-10-29 23:02:55,82,0,31.41,26.83,86.56,99.56
2024-10-29 23:08:10,82,0,31.35,26.85,86.57,99.62
2024-10-29 23:13:25,82,0,31.41,26.74,86.76,99.69
2024-10-29 23:18:40,82,0,31.39,26.72,86.75,100.00
2024-10-29 23:23:55,82,0,31.36,26.78,86.79,100.00
